,Unnamed: 0,close,date,high,low,open,volume
1213,1213.0,692.65,2021-07-16 10:20:00+05:30,694.65,691.3,694.3,308653.0
1214,1214.0,693.15,2021-07-16 10:25:00+05:30,694.5,692.5,692.6,115098.0
1215,1215.0,693.25,2021-07-16 10:30:00+05:30,694.3,692.65,693.1,71805.0
1216,1216.0,693.1,2021-07-16 10:35:00+05:30,693.5,692.8,693.25,53108.0
1217,1217.0,692.8,2021-07-16 10:40:00+05:30,693.45,692.6,693.05,62118.0
1218,1218.0,692.5,2021-07-16 10:45:00+05:30,693.05,691.55,692.75,114424.0
1219,1219.0,693.2,2021-07-16 10:50:00+05:30,693.25,692.35,692.5,41463.0
1220,1220.0,692.9,2021-07-16 10:55:00+05:30,693.25,692.2,693.2,40365.0
1284,1284.0,690.75,2021-07-19 10:00:00+05:30,691.75,690.2,690.4,165213.0
1285,1285.0,689.3,2021-07-19 10:05:00+05:30,691.0,688.8,691.0,184617.0
1286,1286.0,689.0,2021-07-19 10:10:00+05:30,690.35,688.25,689.3,106129.0
1287,1287.0,689.9,2021-07-19 10:15:00+05:30,690.05,688.5,688.95,65489.0
1288,1288.0,688.7,2021-07-19 10:20:00+05:30,690.0,688.0,689.9,61103.0
1289,1289.0,688.1,2021-07-19 10:25:00+05:30,689.0,687.1,688.85,99157.0
1290,1290.0,688.0,2021-07-19 10:30:00+05:30,688.3,687.0,688.0,51044.0
1291,1291.0,688.3,2021-07-19 10:35:00+05:30,689.0,687.75,687.9,60428.0
1292,1292.0,688.25,2021-07-19 10:40:00+05:30,689.25,687.75,688.3,34433.0
1293,1293.0,688.25,2021-07-19 10:45:00+05:30,688.7,687.9,688.25,36041.0
1294,1294.0,688.3,2021-07-19 10:50:00+05:30,688.75,687.75,688.3,40883.0
1295,1295.0,688.05,2021-07-19 10:55:00+05:30,688.6,687.5,688.3,41433.0
1359,1359.0,668.0,2021-07-20 10:00:00+05:30,669.35,667.6,668.7,140729.0
1360,1360.0,667.7,2021-07-20 10:05:00+05:30,668.25,667.0,668.0,142448.0
1361,1361.0,668.95,2021-07-20 10:10:00+05:30,669.5,667.3,667.35,104355.0
1362,1362.0,668.0,2021-07-20 10:15:00+05:30,668.95,667.0,668.95,99908.0
1363,1363.0,666.0,2021-07-20 10:20:00+05:30,668.2,665.75,668.0,184203.0
1364,1364.0,664.95,2021-07-20 10:25:00+05:30,666.35,664.4,666.1,270390.0
1365,1365.0,664.4,2021-07-20 10:30:00+05:30,665.3,664.25,664.95,126425.0
1366,1366.0,664.0,2021-07-20 10:35:00+05:30,664.9,663.1,664.4,175700.0
