,id,sensor_name,status,time
20744,1083,Sensor3ee9e9,-1, 2022-05-19  12:07:41 
20830,1083,Sensor3ee9e9,-1, 2022-05-19  12:07:51 
20915,1083,Sensor3ee9e9,-1, 2022-05-19  12:08:02 
20999,1083,Sensor3ee9e9,-1, 2022-05-19  12:08:12 
21083,1083,Sensor3ee9e9,-1, 2022-05-19  12:08:23 
21165,1083,Sensor3ee9e9,-1, 2022-05-19  12:08:33 
21246,1083,Sensor3ee9e9,-1, 2022-05-19  12:08:44 
21327,1083,Sensor3ee9e9,-1, 2022-05-19  12:08:54 
21408,1083,Sensor3ee9e9,-1, 2022-05-19  12:09:05 
21489,1083,Sensor3ee9e9,-1, 2022-05-19  12:09:15 
21571,1083,Sensor3ee9e9,-1, 2022-05-19  12:09:26 
21653,1083,Sensor3ee9e9,-1, 2022-05-19  12:09:36 
21734,1083,Sensor3ee9e9,-1, 2022-05-19  12:09:46 
21815,1083,Sensor3ee9e9,-1, 2022-05-19  12:09:57 
21897,1083,Sensor3ee9e9,-1, 2022-05-19  12:10:07 
21980,1083,Sensor3ee9e9,-1, 2022-05-19  12:10:18 
22064,1083,Sensor3ee9e9,-1, 2022-05-19  12:10:28 
22149,1083,Sensor3ee9e9,-1, 2022-05-19  12:10:39 
22234,1083,Sensor3ee9e9,-1, 2022-05-19  12:10:49 
22318,1083,Sensor3ee9e9,-1, 2022-05-19  12:11:00 
48588,1083,Sensor3ee9e9,-1, 2022-05-19  13:06:11 
48664,1083,Sensor3ee9e9,-1, 2022-05-19  13:06:21 
48739,1083,Sensor3ee9e9,-1, 2022-05-19  13:06:32 
48817,1083,Sensor3ee9e9,-1, 2022-05-19  13:06:42 
48894,1083,Sensor3ee9e9,-1, 2022-05-19  13:06:53 
48970,1083,Sensor3ee9e9,-1, 2022-05-19  13:07:03 
49046,1083,Sensor3ee9e9,-1, 2022-05-19  13:07:14 
49122,1083,Sensor3ee9e9,-1, 2022-05-19  13:07:24 
49196,1083,Sensor3ee9e9,-1, 2022-05-19  13:07:34 
49273,1083,Sensor3ee9e9,-1, 2022-05-19  13:07:45 
49352,1083,Sensor3ee9e9,-1, 2022-05-19  13:07:55 
49432,1083,Sensor3ee9e9,-1, 2022-05-19  13:08:06 
49512,1083,Sensor3ee9e9,-1, 2022-05-19  13:08:16 
49591,1083,Sensor3ee9e9,-1, 2022-05-19  13:08:27 
49667,1083,Sensor3ee9e9,-1, 2022-05-19  13:08:37 
49744,1083,Sensor3ee9e9,-1, 2022-05-19  13:08:47 
49822,1083,Sensor3ee9e9,-1, 2022-05-19  13:08:58 
49900,1083,Sensor3ee9e9,-1, 2022-05-19  13:09:08 
49977,1083,Sensor3ee9e9,-1, 2022-05-19  13:09:19 
50053,1083,Sensor3ee9e9,-1, 2022-05-19  13:09:29 
50129,1083,Sensor3ee9e9,-1, 2022-05-19  13:09:40 
50205,1083,Sensor3ee9e9,-1, 2022-05-19  13:09:50 
50282,1083,Sensor3ee9e9,-1, 2022-05-19  13:10:00 
50359,1083,Sensor3ee9e9,-1, 2022-05-19  13:10:11 
50435,1083,Sensor3ee9e9,-1, 2022-05-19  13:10:21 
50509,1083,Sensor3ee9e9,-1, 2022-05-19  13:10:32 
50584,1083,Sensor3ee9e9,-1, 2022-05-19  13:10:42 
50659,1083,Sensor3ee9e9,-1, 2022-05-19  13:10:53 
50731,1083,Sensor3ee9e9,-1, 2022-05-19  13:11:03 
